"numero","slug","prompt"
"1","afdal-adawat-bahth-montajat-rabiha","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a futuristic holographic radar interface scanning 3D products, two products highlighted in gold with green WINNER tags, a large glowing magnifier, rising trend graphs. Large gold Arabic headline: 'اكتشفها قبل منافسيك'. Small gold badge: 'دليل 2026'."
"2","afdal-waqt-libidayat-matjar","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing golden 12-month calendar wheel with ONE month lit bright gold and a 3D rocket launching from it, seasonal icons (snowflake, sun, gift) around. Large gold Arabic headline: 'الشهر الذهبي للانطلاق'. Small gold badge: 'دليل 2026'."
"3","akbar-7-akhtae-taqtul-almatajir","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a 3D online storefront cracking and shattering with dramatic red danger glow, warning signs, falling fragments, a huge dominant glowing gold number '7'. Large gold Arabic headline: 'الخطأ #1 يدمّر 90%'. Small gold badge: 'دليل 2026'."
"4","amazon-fba-am-almarka-alkhassa","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a versus split: left an Amazon-style warehouse with stacked boxes, right a premium branded product glowing on a golden pedestal, bold gold 'VS' in the center. Large gold Arabic headline: 'الثروة الحقيقية هنا'. Small gold badge: 'دليل 2026'."
"5","affiliate-am-matjaruk","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a versus split: left floating affiliate links with small '%' commission tags, right a glowing own store wearing a golden crown, gold 'VS' center. Large gold Arabic headline: 'عمولة صغيرة أم أرباح كاملة؟'. Small gold badge: 'دليل 2026'."
"6","albaye-biljomla-am-alqitaa","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a large golden balance scale: one side a pallet of many stacked boxes (wholesale), the other one premium glowing product (retail). Large gold Arabic headline: 'هامش أكبر بثلاث مرات؟'. Small gold badge: 'دليل 2026'."
"7","amazon-ebay-am-matjar-mustaqil","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: two glowing doors: left opens onto a crowded marketplace of mixed seller stalls, right opens onto a clean independent store glowing in gold. Large gold Arabic headline: 'من يملك العميل يربح'. Small gold badge: 'دليل 2026'."
"8","tijara-am-alaqarat","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a small coin stack splitting into two glowing paths: left a tall expensive building with a padlock, right an accessible laptop online store glowing gold. Large gold Arabic headline: 'ابدأ صغيراً واربح كبيراً'. Small gold badge: 'دليل 2026'."
"9","tijara-bidun-zuhur","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a thriving online store with sales notifications popping, centered on a glowing golden anonymous privacy shield, NO face anywhere, discreet premium mood. Large gold Arabic headline: 'اربح دون أن يراك أحد'. Small gold badge: 'دليل 2026'."
"10","tijara-electroniya-fi-faransa-lil-arab","Create a premium 16:9 e-commerce YouTube-style thumbnail. Brand look (always identical): dark cinematic background, deep gradient black to dark emerald green, warm golden glow and light rays, high contrast, glossy premium 3D feel. Bold Arabic text in GOLD, right-to-left, crisp and spelled EXACTLY as written. No brand name. Clean uncluttered composition. Scene: a glowing golden 3D Eiffel Tower, a French flag accent, a floating Shopify dashboard with sales '€7,400' and a green '+68%' badge, euro coins, a bold gold arrow. Large gold Arabic headline: 'سوق المليارات ينتظرك'. Small gold badge: 'دليل 2026'."
